image_path,predicted_face_shape,hairstyle
data\curly\9afdf6678845a5a7c265d1aa358bbb23--big-curl-perm-perms-long-hair.jpg,Oblong,curly
data\curly\9b3608e01d78fbabc9fb0719323d507f4.jpg,Oblong,curly
data\curly\A-selfie-picture-of-a-curly-hair-guy-from-Brazil-sporting-a-man-bun-hairstyle-with-his-long-curls.jpg,Square,curly
data\curly\ACC-haircream-3_1500x.jpg,Oblong,curly
data\curly\b171c99161f3cffc12d4b74488ef2fc6.jpg,Oblong,curly
data\curly\b510a2e81771d484a63bd8e57ff44d2d.png,Oblong,curly
data\curly\b6f42eb884d495e44aaf5d5a6a9cf927.jpg,Oblong,curly
data\curly\b848454ffebb4c4871a2e10f7ee5753d4.png,Oval,curly
data\curly\b988bd16d0f7df26b3ae0fa2cb94c67e.jpg,Oblong,curly
data\curly\baddie-selfie-curly-hair-Favim.com-6977288.jpg,Oblong,curly
data\curly\banner_a35a69bd-5f12-4247-ab40-c3b94fb4faff.jpg,Oblong,curly
data\curly\bc57f62544416fbbfc6604d42ef3f445--curly-bun-natural-curly-hair.jpg,Oblong,curly
data\curly\Beautiful2BIndian2BGirl2BSai2BPallavi2BCurly2Bhair2BSmiling2BFace2BCloseup2B2528122529.jpg,Round,curly
data\curly\Beautifull2BCurly2BHairstyles2Bideas.jpg,Heart,curly
data\curly\beauty-2016-03-curly-hair-fall-2016-beauty-trends-main.jpg,Oblong,curly
data\curly\Beauty202.png,Oblong,curly
data\curly\besthairstylesforindianmen15_1378796017.jpg,Round,curly
data\curly\blogger_one.jpg,Oblong,curly
data\curly\blonde-girl-voluminous-curly-hair-600w-1432618526.jpg,Round,curly
data\curly\By_cQI8CUAEz8vt.jpg,Oblong,curly
data\curly\c03ca1590aa4df74e922ad8257305a2b.jpg,Heart,curly
data\curly\c072a9e12a485e8f4fd1e2619460775e4.jpg,Round,curly
data\curly\c1.jpg,Oblong,curly
data\curly\c1b89bb4f86a3478ec20ce1f63f003c1.jpg,Oblong,curly
data\curly\c26f92d7ae9e9f485ccdc735e2af2b1c--short-curly-hair-black-bangs-curly-hair.jpg,Oblong,curly
data\curly\c3.jpg,Round,curly
data\curly\c4.jpg,Square,curly
data\curly\c4777f277e1e0ac0932cf18de876c24b.jpg,Oblong,curly
data\curly\c4e68de882927fd4c0d2b1c75d14e9b9.jpg,Oval,curly
data\curly\c5.jpg,Oblong,curly
data\curly\c6.jpg,Round,curly
data\curly\c6d1892ba80fc4ed38ab8588b77a1800.jpg,Oblong,curly
data\curly\c8.jpg,Oblong,curly
data\curly\C86_76156_405725089516021_1474585421_n.jpg,Round,curly
data\curly\c8854ccbddafc4fe5aa7727b74335613.jpg,Oblong,curly
data\curly\cd46e02698a09021cc78cd77ddefa609.jpg,Oblong,curly
data\curly\CG-Divya2.jpg,Heart,curly
data\curly\CG-Elizabeth.jpg,Heart,curly
data\curly\Chikan-work-Kurta-and-White-Palazzos10.jpg,Oblong,curly
data\curly\curl-tips-styling-1561743013.jpg,Square,curly
data\curly\Curls-1600x900.jpg,Oblong,curly
data\curly\curls.jpg,Oblong,curly
data\curly\curly-hair (2).jpg,Oblong,curly
data\curly\Curly-Hair(1).jpg,Oblong,curly
data\curly\curly-hair-.jpg,Square,curly
data\curly\curly-hair-251.jpg,Square,curly
data\curly\curly-hair-412.jpg,Oval,curly
data\curly\curly-hair-fb.jpg,Oval,curly
data\curly\curly-hair-india-6.jpg,Oblong,curly
data\curly\curly-hair-man.jpg,Oval,curly
data\curly\curly-hair-model_18028937ed8_medium.jpg,Square,curly
data\curly\curly-hair-products-1674078075.png,Oblong,curly
data\curly\curly-hair-products-india-1.jpg,Oblong,curly
data\curly\curly-hair-routine-293046-1620333779808-main.700x0c.jpg,Oblong,curly
data\curly\curly-hair-soumya-sukumar102t.jpg,Round,curly
data\curly\Curly-Hair-Styling-Tips.jpg,Oval,curly
data\curly\Curly-Hair-Tip-3-Moisturize-Dry-Ends.jpg,Oblong,curly
data\curly\curly-hair.jpg,Oblong,curly
data\curly\Curly-HairOI.jpg,Oblong,curly
data\curly\curly-hairstyles-for-teenage-girls.jpg,Oval,curly
data\curly\Curly-hair_1024x400.jpg,Oblong,curly
data\curly\Curly20Hair20-20Tout.jpg,Oblong,curly
data\curly\CURLY20HAIR2020042320default-jaymejo.jpg,Oblong,curly
data\curly\CurlyHair-Productsin-India.png,Oblong,curly
data\curly\CurlyHair_WavyHair_Mositure_Cover.jpg,Oblong,curly
data\curly\curly_girl_method_hair_types_1_900x_1.png,Oval,curly
data\curly\curtain-bangs-on-curly-hair.jpg,Oval,curly
data\curly\cury-hair-4dec18-default.jpg,Oblong,curly
data\curly\d025636465d6cee2d208d8956928ceb6.jpg,Oblong,curly
data\curly\d7a9e7b2643125ac63af3c72c083a264.jpg,Oblong,curly
data\curly\Dense-Curly-Hair-for-Indian-Girls.jpg,Square,curly
data\curly\D_PhAiMUcAARNLt.jpg,Heart,curly
data\curly\e4ac7e22df892e57c7d4d7da08408f602.jpg,Square,curly
data\curly\ea9f0b6c2d9b3238dc993c1c56463376.jpg,Round,curly
data\curly\easy-hairstyles-for-curly-hair-high-ponytail.jpg,Oblong,curly
data\curly\ecbc8abdd63850d81fa5b3d0ba92ab96.jpg,Oblong,curly
data\curly\EK_Anjana-Muralidharan-Curls-and-Beauty-Diary.jpg,Oblong,curly
data\curly\f0c70f8631f5e3bb66b9d5db71454e35--b-hair-curly-hair.jpg,Oblong,curly
data\curly\f192d35e34fe2a393067927d2bf581c8.jpg,Oblong,curly
data\curly\f30986c3b61473bc1153884a808963af.jpg,Oblong,curly
data\curly\f42eaa0ccafe65003c609ea552dc5445--dry-frizzy-hair-wavy-hair.jpg,Oblong,curly
data\curly\f6b904e34dda9e35cdf8004037d882504.jpg,Oblong,curly
data\curly\f8806d10b38e2f9dc85e34c98627a62f.jpg,Oblong,curly
data\curly\fbf76fc32ca2d78499584388c798f8b9.jpg,Oblong,curly
data\curly\fe501fa65e1a9a27fc6074cc2b6f03184.jpg,Oval,curly
data\curly\ff4f0cee4bc2f4f0be83df52ada7a46f4.jpg,Oblong,curly
data\curly\frizzy-or-curly-hair-featured-image.jpg,Oblong,curly
data\curly\gettyimages-1011227220-1-1579869345.jpg,Oblong,curly
data\curly\gettyimages-163923632-brand-new-images-opener-1518544892.jpg,Oval,curly
data\curly\GettyImages-486112594.jpg,Heart,curly
data\curly\GettyImages-646055712_trans_NvBQzQNjv4BqDo1PhbPPiB1HBZscUHLBE78-ICSbD7iLWCuXgZfDuIk.jpg,Oval,curly
data\curly\girl-teen-telephone-make-selfie-afro-curls-curly-hair-connect.jpg,Oblong,curly
data\curly\Golden-Shoulder-Length-Volume-Curls.jpg,Square,curly
data\curly\grow-longer-curly-hair_750x500_6.jpg,Oval,curly
data\curly\guidetocurly_1024x1024.jpg,Oblong,curly
data\curly\hair-care-tips-for-naturally-curly-hair.jpg,Oblong,curly
data\curly\hair-ideas-2016-03-yara-shahidi-2015-curls-we-love.jpg,Round,curly
data\curly\hairstyles-for-curly-hair-2015-1.jpg,Heart,curly
data\curly\hairstyles_for_curly_hair.jpg,Round,curly
data\curly\handsome-and-attractive-young-indian-man-with-black-fashionable-curly-HFCD3F.jpg,Oblong,curly
data\curly\header_Hair-Care-Tips-For-Curly-Hair_5f36b71a9112f.jpeg,Square,curly
data\curly\How-Style-Curly-Hair-101.jpg,Oval,curly
data\curly\how-style-every-type-curly-hair-9d7733cd.jpg,Oblong,curly
data\curly\How-To-Fix-Limp-Curls-The-Science-Behind-It-scaled.jpeg,Oblong,curly
data\curly\how20to20tell20your20curl20type20lede.jpg,Oblong,curly
data\curly\How_to_care_for_curly_hair.jpg,Oblong,curly
data\curly\iDiva_Naturally-Curly-Hair_Mithila_5d721260d3eac.jpg,Oblong,curly
data\curly\image.jpg,Oblong,curly
data\curly\image100.jpg,Oblong,curly
data\curly\image102.jpg,Oblong,curly
data\curly\image104.jpg,Oblong,curly
data\curly\image105.jpg,Oblong,curly
data\curly\image107.jpg,Round,curly
data\curly\image108.jpg,Oblong,curly
data\curly\image111.jpg,Oblong,curly
data\curly\image113.jpg,Oblong,curly
data\curly\image114.jpg,Oblong,curly
data\curly\image115.jpg,Oblong,curly
data\curly\image12.jpg,Oblong,curly
data\curly\image127.jpg,Heart,curly
data\curly\image129.jpg,Oblong,curly
data\curly\image13.jpeg,Square,curly
data\curly\image13.jpg,Oblong,curly
data\curly\image130.jpg,Oblong,curly
data\curly\image133.jpg,Square,curly
data\curly\image134.jpg,Oblong,curly
data\curly\image136.jpg,Oblong,curly
data\curly\image138.jpg,Oblong,curly
data\curly\image139.jpg,Heart,curly
data\curly\image144.jpg,Heart,curly
data\curly\image145.jpg,Heart,curly
data\curly\image146.jpg,Oblong,curly
data\curly\image147.jpg,Oblong,curly
data\curly\image149.jpg,Oblong,curly
data\curly\image15.jpeg,Oblong,curly
data\curly\image15.jpg,Oblong,curly
data\curly\image152.jpg,Oblong,curly
data\curly\image153.jpg,Heart,curly
data\curly\image154.jpg,Oblong,curly
data\curly\image155.jpg,Heart,curly
data\curly\image156.jpg,Oblong,curly
data\curly\image157.jpg,Oval,curly
data\curly\image158.jpg,Oblong,curly
data\curly\image159.jpg,Oblong,curly
data\curly\image16.jpg,Oblong,curly
data\curly\image160.jpg,Oval,curly
data\curly\image161.jpg,Oval,curly
data\curly\image162.jpg,Oblong,curly
data\curly\image163.jpg,Square,curly
data\curly\image165.jpg,Oblong,curly
data\curly\image169.jpg,Oblong,curly
data\curly\image17.jpg,Oblong,curly
data\curly\image170.jpg,Heart,curly
data\curly\image171.jpg,Square,curly
data\curly\image172.jpg,Round,curly
data\curly\image174.jpg,Oval,curly
data\curly\image175.jpg,Oblong,curly
data\curly\image176.jpg,Heart,curly
data\curly\image177.jpg,Oblong,curly
data\curly\image179.jpg,Oval,curly
data\curly\image180.jpg,Oblong,curly
data\curly\image181.jpg,Oblong,curly
data\curly\image182.jpg,Round,curly
data\curly\image184.jpg,Oblong,curly
data\curly\image185.jpg,Round,curly
data\curly\image188.jpg,Oblong,curly
data\curly\image189.jpg,Square,curly
data\curly\image19 (2).jpg,Oblong,curly
data\curly\image19.jpg,Heart,curly
data\curly\image194.jpg,Oval,curly
data\curly\image195.jpg,Oval,curly
data\curly\image196.jpg,Heart,curly
data\curly\image197.jpg,Heart,curly
data\curly\image198.jpg,Oval,curly
data\curly\image199.jpg,Heart,curly
data\curly\image2.jpg,Heart,curly
data\curly\image20.jpeg,Oval,curly
data\curly\image200.jpg,Oblong,curly
data\curly\image201.jpg,Heart,curly
data\curly\image202.jpg,Heart,curly
data\curly\image203.jpg,Oval,curly
data\curly\image204.jpg,Heart,curly
data\curly\image209.jpg,Oblong,curly
data\curly\image21.jpeg,Heart,curly
data\curly\image21.jpg,Oblong,curly
data\curly\image210.jpg,Round,curly
data\curly\image211.jpg,Oval,curly
data\curly\image212.jpg,Square,curly
data\curly\image213.jpg,Round,curly
data\curly\image216.jpg,Oblong,curly
data\curly\image217.jpg,Oblong,curly
data\curly\image218.jpg,Oblong,curly
data\curly\image22.jpeg,Oblong,curly
data\curly\image220.jpg,Square,curly
data\curly\image221.jpg,Square,curly
data\curly\image223.jpg,Oblong,curly
data\curly\image224.jpg,Oblong,curly
data\curly\image225.jpg,Heart,curly
data\curly\image226.jpg,Oblong,curly
data\curly\image227.jpg,Oblong,curly
data\curly\image229.jpg,Heart,curly
data\curly\image23.jpeg,Round,curly
data\curly\image23.jpg,Oblong,curly
data\curly\image230.jpg,Heart,curly
data\curly\image232.jpg,Heart,curly
data\curly\image233.jpg,Oval,curly
data\curly\image236.jpg,Oblong,curly
data\curly\image237.jpg,Oblong,curly
data\curly\image239.jpg,Square,curly
data\curly\image24.jpeg,Oblong,curly
data\curly\image240.jpg,Oblong,curly
data\curly\image242.jpg,Square,curly
data\curly\image243.jpg,Oblong,curly
data\curly\image244.jpg,Oblong,curly
data\curly\image245.jpg,Oblong,curly
data\curly\image246.jpg,Oval,curly
data\curly\image248.jpg,Oblong,curly
data\curly\image249.jpg,Round,curly
data\curly\image25 (2).jpeg,Oblong,curly
data\curly\image25.jpeg,Square,curly
data\curly\image250.jpg,Oblong,curly
data\curly\image252.jpg,Heart,curly
data\curly\image254.jpg,Oval,curly
data\curly\image255.jpg,Heart,curly
data\curly\image256.jpg,Oblong,curly
data\curly\image258.jpg,Square,curly
data\curly\image26 (2).jpg,Oblong,curly
data\curly\image26.jpg,Oblong,curly
data\curly\image260.jpg,Heart,curly
data\curly\image261.jpg,Heart,curly
data\curly\image264.jpg,Oblong,curly
data\curly\image265.jpg,Oblong,curly
data\curly\image266.jpg,Oblong,curly
data\curly\image267.jpg,Oval,curly
data\curly\image268.jpg,Heart,curly
data\curly\image27 (2).jpeg,Oblong,curly
data\curly\image27.jpeg,Oblong,curly
data\curly\image27.jpg,Oblong,curly
data\curly\image270.jpg,Square,curly
data\curly\image271.jpg,Oblong,curly
data\curly\image272.jpg,Square,curly
data\curly\image274.jpg,Oblong,curly
data\curly\image277.jpg,Oblong,curly
data\curly\image278.jpg,Oval,curly
data\curly\image28.jpeg,Round,curly
data\curly\image28.jpg,Oval,curly
data\curly\image281.jpg,Oval,curly
data\curly\image284.jpg,Heart,curly
data\curly\image285.jpg,Oblong,curly
data\curly\image286.jpg,Oblong,curly
data\curly\image287.jpg,Heart,curly
data\curly\image290.jpg,Oblong,curly
data\curly\image30.jpeg,Oval,curly
data\curly\image30.jpg,Heart,curly
data\curly\image31.jpeg,Oblong,curly
data\curly\image31.jpg,Oblong,curly
data\curly\image32.jpeg,Oblong,curly
data\curly\image32.jpg,Heart,curly
data\curly\image33.jpg,Oblong,curly
data\curly\image34.jpg,Heart,curly
data\curly\image35.jpg,Square,curly
data\curly\image365.jpg,Oblong,curly
data\curly\image38.jpg,Oblong,curly
data\curly\image39.jpg,Heart,curly
data\curly\image4.jpg,Oblong,curly
data\curly\image40.jpg,Square,curly
data\curly\image41.jpg,Oblong,curly
data\curly\image42.jpg,Square,curly
data\curly\image45.jpg,Oval,curly
data\curly\image46.jpg,Oblong,curly
data\curly\image47.jpg,Oval,curly
data\curly\image49.jpg,Oval,curly
data\curly\image5 (2).jpg,Oblong,curly
data\curly\image5.jpg,Square,curly
data\curly\image51.jpg,Square,curly
data\curly\image52.jpg,Oblong,curly
data\curly\image54.jpg,Oval,curly
data\curly\image56.jpg,Heart,curly
data\curly\image57 (2).jpg,Oblong,curly
data\curly\image57.jpg,Oblong,curly
data\curly\image58.jpg,Square,curly
data\curly\image6.jpg,Oblong,curly
data\curly\image62.jpg,Heart,curly
data\curly\image63.jpg,Heart,curly
data\curly\image64.jpg,Oblong,curly
data\curly\image65.jpg,Round,curly
data\curly\image67.jpg,Oblong,curly
data\curly\image68.jpg,Round,curly
data\curly\image69.jpg,Oblong,curly
data\curly\image7.jpg,Oblong,curly
data\curly\image70.jpg,Heart,curly
data\curly\image71.jpg,Oblong,curly
data\curly\image72.jpg,Oblong,curly
data\curly\image74.jpg,Oval,curly
data\curly\image76.jpg,Oblong,curly
data\curly\image79.jpg,Oblong,curly
data\curly\image8.jpg,Oblong,curly
data\curly\image80.jpg,Oval,curly
data\curly\image82.jpg,Oval,curly
data\curly\image83.jpg,Oblong,curly
data\curly\image85.jpg,Square,curly
data\curly\image87.jpg,Oblong,curly
data\curly\image89.jpg,Oval,curly
data\curly\image9.jpg,Oblong,curly
data\curly\image90.jpg,Oval,curly
data\curly\image92.jpg,Heart,curly
data\curly\image93.jpg,Oblong,curly
data\curly\image94.jpg,Oblong,curly
data\curly\image95.jpg,Oval,curly
data\curly\image96.jpg,Oblong,curly
data\curly\image97.jpg,Oval,curly
data\curly\images10.jpg,Oblong,curly
data\curly\images102.jpg,Oblong,curly
data\curly\images103.jpg,Oval,curly
data\curly\images104.jpg,Round,curly
data\curly\images106.jpg,Oval,curly
data\curly\images107.jpg,Round,curly
data\curly\images108.jpg,Oblong,curly
data\curly\images11.jpg,Oblong,curly
data\curly\images110.jpg,Oval,curly
data\curly\images113.jpg,Oblong,curly
data\curly\images114.jpg,Oblong,curly
data\curly\images121.jpg,Oblong,curly
data\curly\images122.jpg,Oblong,curly
data\curly\images129.jpg,Round,curly
data\curly\images133.jpg,Oblong,curly
data\curly\images134.jpg,Oblong,curly
data\curly\images136.jpg,Oval,curly
data\curly\images138.jpg,Heart,curly
data\curly\images14.jpg,Oval,curly
data\curly\images140.jpg,Round,curly
data\curly\images141.jpg,Oblong,curly
data\curly\images142.jpg,Round,curly
data\curly\images143.jpg,Oblong,curly
data\curly\images145.jpg,Square,curly
data\curly\images146.jpg,Oblong,curly
data\curly\images147.jpg,Round,curly
data\curly\images148.jpg,Oblong,curly
data\curly\images15.jpg,Round,curly
data\curly\images151.jpg,Round,curly
data\curly\images153.jpg,Round,curly
data\curly\images154.jpg,Oblong,curly
data\curly\images155.jpg,Round,curly
data\curly\images156.jpg,Oval,curly
data\curly\images159.jpg,Round,curly
data\curly\images16.jpg,Round,curly
data\curly\images162.jpg,Oval,curly
data\curly\images165.jpg,Oblong,curly
data\curly\images166.jpg,Round,curly
data\curly\images168.jpg,Oblong,curly
data\curly\images169.jpg,Round,curly
data\curly\images174.jpg,Square,curly
data\curly\images175.jpg,Oblong,curly
data\curly\images176.jpg,Square,curly
data\curly\images177.jpg,Oblong,curly
data\curly\images178.jpg,Oblong,curly
data\curly\images179.jpg,Oblong,curly
data\curly\images180.jpg,Oblong,curly
data\curly\images181.jpg,Round,curly
data\curly\images182.jpg,Oblong,curly
data\curly\images183.jpg,Oblong,curly
data\curly\images185.jpg,Square,curly
data\curly\images187.jpg,Square,curly
data\curly\images188.jpg,Round,curly
data\curly\images189.jpg,Oblong,curly
data\curly\images192.jpg,Heart,curly
data\curly\images193.jpg,Oblong,curly
data\curly\images195.jpg,Oblong,curly
data\curly\images196.jpg,Round,curly
data\curly\images197.jpg,Oblong,curly
data\curly\images200.jpg,Round,curly
data\curly\images201.jpg,Round,curly
data\curly\images206.jpg,Oval,curly
data\curly\images207.jpg,Oblong,curly
data\curly\images209.jpg,Round,curly
data\curly\images210.jpg,Oblong,curly
data\curly\images211.jpg,Round,curly
data\curly\images212.jpg,Oblong,curly
data\curly\images218.jpg,Oblong,curly
data\curly\images219.jpg,Oblong,curly
data\curly\images222.jpg,Oval,curly
data\curly\images225.jpg,Oval,curly
data\curly\images226.jpg,Round,curly
data\curly\images231.jpg,Round,curly
data\curly\images25.jpg,Oblong,curly
data\curly\images29.jpg,Oblong,curly
data\curly\images36.jpg,Oblong,curly
data\curly\images43.jpg,Oval,curly
data\curly\images44.jpg,Oblong,curly
data\curly\images46.jpg,Round,curly
data\curly\images47.jpg,Round,curly
data\curly\images48.jpg,Oblong,curly
data\curly\images49.jpg,Round,curly
data\curly\images50.jpg,Oblong,curly
data\curly\images54.jpg,Oblong,curly
data\curly\images56.jpg,Round,curly
data\curly\images59.jpg,Oblong,curly
data\curly\images61.jpg,Heart,curly
data\curly\images62.jpg,Oval,curly
data\curly\images65.jpg,Oblong,curly
data\curly\images67.jpg,Oblong,curly
data\curly\images68.jpg,Oblong,curly
data\curly\images69.jpg,Oblong,curly
data\curly\images73.jpg,Oval,curly
data\curly\images74.jpg,Heart,curly
data\curly\images76.jpg,Oblong,curly
data\curly\images78.jpg,Oblong,curly
data\curly\images88.jpg,Oblong,curly
data\curly\images96.jpg,Oval,curly
data\curly\images97.jpg,Oval,curly
data\curly\IMG_0391-570x350.jpg,Oval,curly
data\curly\IMG_2412-768x1024.jpg,Oblong,curly
data\curly\IMG_5387.jpg,Oblong,curly
data\curly\IMG_6937__1518102110_110.227.187.202-1-min.jpeg,Square,curly
data\curly\india-3-700.jpg,Oval,curly
data\curly\india-curly-hair.png,Square,curly
data\curly\indian-baby-girl-curly-hair-600w-1664313094.jpg,Round,curly
data\curly\indian-curly-hair-1547795308-4655363.jpeg,Oblong,curly
data\curly\Indian-Curly-Snob-Life_e81fc59e-fe8f-4330-881d-8ca2f0b3c1b1_grande.jpg,Oblong,curly
data\curly\indian-hairstyles-for-short-hair-1.jpg,Round,curly
data\curly\Indian-Short-Hairstyles-6.jpg,Oblong,curly
data\curly\IndianCurlPride1.jpg,Oblong,curly
data\curly\ing-pink-smartphone-and-taking-selfie-pretty-girl-watching-funny-interesting-comedy-smiling-and-posing-at-camera-during-film-in-cinema-hall-RA8X2K.jpg,Oval,curly
data\curly\inside_1515662497.jpg,Square,curly
data\curly\Isee-Hair-Products-7A-Indian-Curly-Virgin-Hair-Bundle-Deals-Indian-Kinky-Curly-Hair-Indian-Curly.jpg,Oblong,curly
data\curly\istockphoto-1180989160-612x612_1.jpeg,Oblong,curly
data\curly\istockphoto-1395309768-612x612.jpeg,Oblong,curly
data\curly\jennifer-lopez-curly-hair-0729-main.jpg,Square,curly
data\curly\jordin-sparks-curly-hair.jpg,Oblong,curly
data\curly\joyful-pretty-girl-with-curly-hair-takes-selfie-mobile-phone_8353-6635.jpg,Heart,curly
data\curly\Kopie_van_henriette2.jpg,Oblong,curly
data\curly\Kz_650x650-stylefeen-wash-day-.jpg,Oblong,curly
data\curly\layered-curly-hair.jpg,Oblong,curly
data\curly\Leave-it-in-3-8P3A3076.jpg,Oblong,curly
data\curly\long-curly-hair-for-women.jpg,Oblong,curly
data\curly\long-curly-hairstyle-for-indian-women-3.jpg,Oblong,curly
data\curly\long-layered-curly-hair-6.jpg,Oblong,curly
data\curly\maxresdefault.jpg,Oval,curly
data\curly\maxresdefault0.jpg,Square,curly
data\curly\maxresdefault1.jpg,Square,curly
data\curly\Medium-Curly-Hairstyles-for-2018-2019.jpg,Oblong,curly
data\curly\Meher-mistry-curly-hair1.jpg,Oblong,curly
data\curly\mhljii00vyxx.jpg,Oblong,curly
data\curly\model-indian-face-makeup-smile-beauty-curly-hair.jpg,Heart,curly
data\curly\M_Id_118957_curly_hair.jpg,Oblong,curly
data\curly\NaturalCurlyLongHairstylesisextraordinaryforyourstyle.jpg,Heart,curly
data\curly\njl3tbj29vc01.jpg,Oblong,curly
data\curly\NYFL16_Hellessy_00007JPG.jpg,Oblong,curly
data\curly\original.jpg,Oblong,curly
data\curly\original2.jpg,Oblong,curly
data\curly\Parizaad-Khan-curly-hair-kedar-nene1.jpg,Oblong,curly
data\curly\pexels-photo-2811089.jpeg,Oblong,curly
data\curly\photo.jpg,Square,curly
data\curly\raw-Indian-Virgin-Hair-Deep-Wave-3-pcs-King-Hair-Indian-Curly-Virgin-Hair-7A-Grade.jpg,Oblong,curly
data\curly\rs_1080x1080-200330130638-1080-ariana-grande-curly-hair-instagram-am-033020.gif,Square,curly
data\curly\screen-shot-2020-03-24-at-11-23-46-am-1585063518.png,Oblong,curly
data\curly\selfie-photo-of-cute-curly-haired-caucasian-girl-watching-calmly-into-camera-in-sunny-autumnal-park-T1RPE3.jpg,Oblong,curly
data\curly\SHAMPOOS-1.png,Round,curly
data\curly\short-curly-hair-layered-bob-black-color.jpg,Oblong,curly
data\curly\short-curly-hair-middle-part-black-bob.jpg,Heart,curly
data\curly\short-curly-hair-with-bangs-1x1-1.jpg,Oval,curly
data\curly\short-curly-hairstyles-08.jpg,Square,curly
data\curly\square-1454712473-curly-hair-index.jpg,Square,curly
data\curly\stock-photo-beautiful-girl-with-curly-hair-taking-selfie-512362408.jpg,Round,curly
data\curly\stock-photo-green-eyes-selfie-long-hair-curly-hair-curly-girls-20315906-bbea-49c3-a055-af0cef5a7d66.jpg,Oblong,curly
data\curly\stock-photo-hair-selfie-model-curly-hair-afro-3fd6e0aa-a1df-464f-a1c4-270c9a79b132.jpg,Oblong,curly
data\curly\stock-photo-portrait-green-eyes-hair-girl-selfie-woman-hairstyle-curls-brunette-a26fe5fc-9472-4bc9-a281-6753ef6b59d2.jpg,Oblong,curly
data\curly\stock-photo-travelgirl-with-long-curly-hair-doing-selfie-in-pedestrian-street-pretty-woman-looking-at-camera-673903570.jpg,Square,curly
data\curly\Swirly01.jpg,Oval,curly
data\curly\thin-curly-hair-732x549-thumbnail.jpg,Oblong,curly
data\curly\tp-hairstyles-for-curly-hair.jpg,Oblong,curly
data\curly\tp-sassy-short-curly-hairstyles-women.jpg,Oblong,curly
data\curly\tumblr_n0mygkVwrS1rvhtmyo1_500.jpg,Oblong,curly
data\curly\tumblr_n8vspadxMi1r0k4tgo1_1280.jpg,Oval,curly
data\curly\tumblr_nhgozgJrHm1rvhtmyo1_500.jpg,Oval,curly
data\curly\Untitled-1.jpg,Square,curly
data\curly\untitled-14.jpg,Oblong,curly
data\curly\Untitled-8.jpg,Oblong,curly
data\curly\vaXD13BxZI0V1636041252.jpg,Oval,curly
data\curly\vjnh5bqvr2q21.jpg,Oblong,curly
data\curly\woman20with20curly20hair.jpg,Oblong,curly
data\curly\YpwvxIBmFJgQ1534351741.jpg,Oblong,curly
data\dreadlocks\05740e64c1d611e74723ed4103776b71.jpg,Oblong,dreadlocks
data\dreadlocks\0a62ef878341056d842dbde6365f9c4a4.jpg,Oblong,dreadlocks
data\dreadlocks\0fgjhs702ob4uoi75.jpg,Round,dreadlocks
data\dreadlocks\1-rihanna-dreadlocks.jpg,Oval,dreadlocks
data\dreadlocks\11-small-side-swept-dreads-CC7LDipp1aw.jpg,Oval,dreadlocks
