image_path,gender,face_shape,hairstyle
dataset\men\Comma_bangs_0149.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0150.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0151.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0152.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0153.jpg,men,Round,Middle
dataset\men\Comma_bangs_0154.jpg,men,Round,Middle
dataset\men\Comma_bangs_0155.jpg,men,Round,Layered_curly_hairstyle
dataset\men\Comma_bangs_0156.jpg,men,Round,Middle
dataset\men\Comma_bangs_0157.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0158.jpg,men,Round,Middle
dataset\men\Comma_bangs_0159.jpg,men,Round,Middle
dataset\men\Comma_bangs_0160.jpg,men,Round,Middle
dataset\men\Comma_bangs_0161.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0162.jpg,men,Oval,Straight_layered_hair
dataset\men\Comma_bangs_0163.jpg,men,Oblong,Pomade
dataset\men\Comma_bangs_0164.jpg,men,Round,Middle
dataset\men\Comma_bangs_0165.jpg,men,Round,Middle
dataset\men\Comma_bangs_0166.jpg,men,Round,Middle
dataset\men\Comma_bangs_0167.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0168.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0169.jpg,men,Round,Middle
dataset\men\Comma_bangs_0170.jpg,men,Round,Middle
dataset\men\Comma_bangs_0171.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0172.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0173.jpg,men,Round,Layered_curly_hairstyle
dataset\men\Comma_bangs_0174.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0175.jpg,men,Oval,Middle
dataset\men\Comma_bangs_0176.jpg,men,Round,Middle
dataset\men\Comma_bangs_0177.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0178.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0179.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0180.jpg,men,Oblong,Men's_short_hair
dataset\men\Comma_bangs_0181.jpg,men,Round,Layered_curly_hairstyle
dataset\men\Comma_bangs_0182.jpg,men,Round,Middle
dataset\men\Comma_bangs_0183.jpg,men,Round,Middle
dataset\men\Comma_bangs_0184.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0185.jpg,men,Round,Middle
dataset\men\Comma_bangs_0186.jpg,men,Round,Middle
dataset\men\Comma_bangs_0187.jpg,men,Round,Middle
dataset\men\Comma_bangs_0188.jpg,men,Round,Middle
dataset\men\Comma_bangs_0189.jpg,men,Round,Middle
dataset\men\Comma_bangs_0190.jpg,men,Round,Middle
dataset\men\Comma_bangs_0191.jpg,men,Round,Middle
dataset\men\Comma_bangs_0192.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0193.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0194.jpg,men,Round,Middle
dataset\men\Comma_bangs_0195.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0196.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0197.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0198.jpg,men,Heart,Middle
dataset\men\Comma_bangs_0199.jpg,men,Round,Middle
dataset\men\Comma_bangs_0200.jpg,men,Oval,Middle
dataset\men\Comma_bangs_0201.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0202.jpg,men,Heart,Middle
dataset\men\Comma_bangs_0203.jpg,men,Round,Layered_curly_hairstyle
dataset\men\Comma_bangs_0204.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0205.jpg,men,Round,Middle
dataset\men\Comma_bangs_0206.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0207.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0208.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0209.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0210.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0211.jpg,men,Round,Long_hair
dataset\men\Comma_bangs_0212.jpg,men,Oval,Pomade
dataset\men\Comma_bangs_0213.jpg,men,Heart,Comma_bangs
dataset\men\Comma_bangs_0214.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0215.jpg,men,Oblong,Layered_curly_hairstyle
dataset\men\Comma_bangs_0216.jpg,men,Oval,Girls_short_hair
dataset\men\Comma_bangs_0217.jpg,men,Round,Layered_curly_hairstyle
dataset\men\Comma_bangs_0218.jpg,men,Round,Middle
dataset\men\Comma_bangs_0219.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0220.jpg,men,Round,Middle
dataset\men\Comma_bangs_0221.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0222.jpg,men,Round,Textured_Cut
dataset\men\Comma_bangs_0223.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0224.jpg,men,Heart,Middle
dataset\men\Comma_bangs_0225.jpg,men,Oblong,Straight_layered_hair
dataset\men\Comma_bangs_0226.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0227.jpg,men,Round,Middle
dataset\men\Comma_bangs_0228.jpg,men,Oval,Straight_layered_hair
dataset\men\Comma_bangs_0229.jpg,men,Round,Middle
dataset\men\Comma_bangs_0230.jpg,men,Oblong,Pomade
dataset\men\Comma_bangs_0231.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0232.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0233.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0234.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0235.jpg,men,Round,Middle
dataset\men\Comma_bangs_0236.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0237.jpg,men,Oval,Middle
dataset\men\Comma_bangs_0238.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0239.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0240.jpg,men,Round,Middle
dataset\men\Comma_bangs_0241.jpg,men,Heart,Middle
dataset\men\Comma_bangs_0242.jpg,men,Round,Middle
dataset\men\Comma_bangs_0243.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0244.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0245.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0246.jpg,men,Round,Layered_curly_hairstyle
dataset\men\Comma_bangs_0247.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0248.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0249.jpg,men,Round,Middle
dataset\men\Comma_bangs_0250.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0251.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0252.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0253.jpg,men,Round,Layered_curly_hairstyle
dataset\men\Comma_bangs_0254.jpg,men,Oval,Men's_short_hair
dataset\men\Comma_bangs_0255.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0256.jpg,men,Round,Layered_curly_hairstyle
dataset\men\Comma_bangs_0257.jpg,men,Round,Middle
dataset\men\Comma_bangs_0258.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0259.jpg,men,Round,Middle
dataset\men\Comma_bangs_0260.jpg,men,Heart,Girls_short_hair
dataset\men\Comma_bangs_0261.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0262.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0263.jpg,men,Round,Middle
dataset\men\Comma_bangs_0264.jpg,men,Round,Middle
dataset\men\Comma_bangs_0265.jpg,men,Round,Layered_curly_hairstyle
dataset\men\Comma_bangs_0266.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0267.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0268.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0269.jpg,men,Round,Middle
dataset\men\Comma_bangs_0270.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0271.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0272.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0273.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0274.jpg,men,Round,Middle
dataset\men\Comma_bangs_0275.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0276.jpg,men,Round,Layered_curly_hairstyle
dataset\men\Comma_bangs_0277.jpg,men,Round,Middle
dataset\men\Comma_bangs_0278.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0279.jpg,men,Round,Middle
dataset\men\Comma_bangs_0280.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0281.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0282.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0283.jpg,men,Round,Textured_Cut
dataset\men\Comma_bangs_0284.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0285.jpg,men,Oblong,Straight_layered_hair
dataset\men\Comma_bangs_0286.jpg,men,Oblong,Pomade
dataset\men\Comma_bangs_0287.jpg,men,Oblong,Straight_layered_hair
dataset\men\Comma_bangs_0288.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0289.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0290.jpg,men,Round,Middle
dataset\men\Comma_bangs_0291.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0292.jpg,men,Square,Girls_short_hair
dataset\men\Comma_bangs_0293.jpg,men,Square,Men's_short_hair
dataset\men\Comma_bangs_0294.jpg,men,Round,Middle
dataset\men\Comma_bangs_0295.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0296.jpg,men,Square,Middle
dataset\men\Comma_bangs_0297.jpg,men,Oblong,Men's_short_hair
dataset\men\Comma_bangs_0298.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0299.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0300.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0301.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0302.jpg,men,Round,Middle
dataset\men\Comma_bangs_0303.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0304.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0305.jpg,men,Oblong,Layered_curly_hairstyle
dataset\men\Comma_bangs_0306.jpg,men,Round,Middle
dataset\men\Comma_bangs_0307.jpg,men,Round,Middle
dataset\men\Comma_bangs_0308.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0309.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0310.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0311.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0312.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0313.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0314.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0315.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0316.jpg,men,Round,Middle
dataset\men\Comma_bangs_0317.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0318.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0319.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0320.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0321.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0322.jpg,men,Oval,Girls_short_hair
dataset\men\Comma_bangs_0323.jpg,men,Heart,Comma_bangs
dataset\men\Comma_bangs_0324.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0325.jpg,men,Round,Middle
dataset\men\Comma_bangs_0326.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0327.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0328.jpg,men,Round,Middle
dataset\men\Comma_bangs_0329.jpg,men,Square,Comma_bangs
dataset\men\Comma_bangs_0330.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0331.jpg,men,Round,Long_hair
dataset\men\Comma_bangs_0332.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0333.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0334.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0335.jpg,men,Round,Middle
dataset\men\Comma_bangs_0336.jpg,men,Round,Middle
dataset\men\Comma_bangs_0337.jpg,men,Round,Middle
dataset\men\Comma_bangs_0338.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0339.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0340.jpg,men,Round,Middle
dataset\men\Comma_bangs_0341.jpg,men,Oblong,Girls_short_hair
dataset\men\Comma_bangs_0342.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0343.jpg,men,Round,Middle
dataset\men\Comma_bangs_0344.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0345.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0346.jpg,men,Round,Middle
dataset\men\Comma_bangs_0347.jpg,men,Round,Middle
dataset\men\Comma_bangs_0348.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0349.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0350.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0351.jpg,men,Round,Middle
dataset\men\Comma_bangs_0352.jpg,men,Heart,Straight_layered_hair
dataset\men\Comma_bangs_0353.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0354.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0355.jpg,men,Oval,Straight_layered_hair
dataset\men\Comma_bangs_0356.jpg,men,Round,Layered_curly_hairstyle
dataset\men\Comma_bangs_0357.jpg,men,Round,Middle
dataset\men\Comma_bangs_0358.jpg,men,Round,Middle
dataset\men\Comma_bangs_0359.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0360.jpg,men,Round,Middle
dataset\men\Comma_bangs_0361.jpg,men,Round,Middle
dataset\men\Comma_bangs_0362.jpg,men,Round,Middle
dataset\men\Comma_bangs_0363.jpg,men,Round,Layered_curly_hairstyle
dataset\men\Comma_bangs_0364.jpg,men,Heart,Middle
dataset\men\Comma_bangs_0365.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0366.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0367.jpg,men,Round,Middle
dataset\men\Comma_bangs_0368.jpg,men,Round,Middle
dataset\men\Comma_bangs_0369.jpg,men,Round,Long_hair
dataset\men\Comma_bangs_0370.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0371.jpg,men,Round,Middle
dataset\men\Comma_bangs_0372.jpg,men,Round,Middle
dataset\men\Comma_bangs_0373.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0374.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0375.jpg,men,Round,Middle
dataset\men\Comma_bangs_0376.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0377.jpg,men,Square,Middle
dataset\men\Comma_bangs_0378.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0379.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0380.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0381.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0382.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0383.jpg,men,Round,Long_hair
dataset\men\Comma_bangs_0384.jpg,men,Round,Middle
dataset\men\Comma_bangs_0385.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0386.jpg,men,Round,Long_hair
dataset\men\Comma_bangs_0387.jpg,men,Heart,Girls_short_hair
dataset\men\Comma_bangs_0388.jpg,men,Round,Middle
dataset\men\Comma_bangs_0389.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0390.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0391.jpg,men,Round,Straight_layered_hair
dataset\men\Comma_bangs_0392.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0393.jpg,men,Round,Middle
dataset\men\Comma_bangs_0394.jpg,men,Round,Comma_bangs
dataset\men\Comma_bangs_0395.jpg,men,Oval,Men's_short_hair
dataset\men\Comma_bangs_0396.jpg,men,Square,Middle
dataset\men\Comma_bangs_0397.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0398.jpg,men,Round,Pomade
dataset\men\Comma_bangs_0399.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0400.jpg,men,Oblong,Pomade
dataset\men\Comma_bangs_0401.jpg,men,Round,Middle
dataset\men\Comma_bangs_0402.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0403.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0404.jpg,men,Square,Middle
dataset\men\Comma_bangs_0405.jpg,men,Round,Middle
dataset\men\Comma_bangs_0406.jpg,men,Round,Girls_short_hair
dataset\men\Comma_bangs_0407.jpg,men,Oval,Men's_short_hair
dataset\men\Comma_bangs_0408.jpg,men,Square,Comma_bangs
dataset\men\Comma_bangs_0409.jpg,men,Round,Layered_curly_hairstyle
dataset\men\Comma_bangs_0410.jpg,men,Round,Men's_short_hair
dataset\men\Comma_bangs_0411.jpg,men,Round,Long_hair
dataset\men\Comma_bangs_0412.jpg,men,Heart,Girls_short_hair
dataset\men\Comma_bangs_0413.jpg,men,Round,Middle
dataset\men\Comma_bangs_0414.jpg,men,Oblong,Men's_short_hair
dataset\men\Comma_bangs_0415.jpg,men,Round,Middle
dataset\men\Comma_bangs_0416.jpg,men,Round,Middle
dataset\men\Comma_bangs_0417.jpg,men,Oval,Layered_curly_hairstyle
dataset\men\Comma_bangs_0418.jpg,men,Round,Girls_short_hair
